Date,close,volume,open,high,low
8/28/2017,104.47,1606883,105.27,105.29,103.875
8/25/2017,105.16,1361044,105.95,106.29,105.07
8/24/2017,105.52,2298912,106.67,107.78,105.49
8/23/2017,107.44,2264846,107.07,107.59,106.61
8/22/2017,107.76,1302565,107.62,107.85,106.85
8/21/2017,107.61,642806,107.25,107.74,106.65
8/18/2017,107.34,1047042,107.92,107.9819,106.56
8/17/2017,107.85,1644047,106.93,109.3351,106.93
8/16/2017,106.04,705080,106,106.35,105.78
8/15/2017,105.9,548409,105.9,106.07,105.61
8/14/2017,105.94,535652,105.5,106.04,105.4611
8/11/2017,105.2,571976,105.26,106.19,105.01
8/10/2017,105.3,552563,104.98,105.79,104.7
8/9/2017,105.25,1003588,105.13,105.38,104.19
8/8/2017,105.1,971417,105.27,106.18,105
8/7/2017,105.65,761613,105,105.74,104.86
8/4/2017,104.86,710820,105.86,105.92,104.78
8/3/2017,105.54,727496,105.57,105.98,105.38
8/2/2017,105.59,707367,105.57,105.8599,104.66
8/1/2017,105.65,890207,105.51,106,104.76
7/31/2017,105.31,1179947,106.19,106.44,105.02
7/28/2017,106.07,815657,106.35,107.15,105.8
7/27/2017,106.45,1434937,106.06,106.46,105.09
7/26/2017,106,1761698,106.89,108.1,105.65
7/25/2017,107.44,1301209,105.41,107.54,104.79
7/24/2017,105.3,1293543,106.37,106.37,105.26
7/21/2017,106.39,751211,106.18,106.47,105.72
7/20/2017,106.28,420198,106.28,106.5,105.98
7/19/2017,106.09,575426,105.9,106.35,105.79
7/18/2017,105.89,762349,106.23,106.42,105.64
7/17/2017,106.29,843398,105.45,106.445,105.3
7/14/2017,105.47,570742,105.08,105.63,105.05
7/13/2017,104.8,644819,104.84,105.04,104.4
7/12/2017,104.83,951978,104.53,105.01,104.36
7/11/2017,104.06,1672568,104.99,105.16,103.77
7/10/2017,104.97,948674,106.12,106.26,104.94
7/7/2017,105.91,739277,106.66,106.86,105.86
7/6/2017,106.43,1198316,106.38,107.29,106.025
7/5/2017,106.31,1715041,106.64,106.79,105.85
7/3/2017,106.64,716407,107.05,107.58,106.29
6/30/2017,107.37,1620924,106.78,108.73,106.78
6/29/2017,106.62,917287,107.65,107.65,106.05
6/28/2017,107.67,825865,108.65,108.86,107.6
6/27/2017,108.18,1025177,110.03,110.1015,108.05
6/26/2017,110.28,1084493,110.11,110.7,109.69
6/23/2017,109.81,1264202,110.29,110.703,109.37
6/22/2017,110.52,763270,111.37,111.59,110.49
6/21/2017,111.57,842832,111.85,112.53,111.28
6/20/2017,111.59,780527,112.34,112.45,111.42
6/19/2017,112.3,1258970,111.96,112.66,110.98
6/16/2017,111.83,2287761,115,115.17,110.72
6/15/2017,114.88,1356778,114.04,115.34,113.51
6/14/2017,114.39,745223,114.35,115.33,114.19
6/13/2017,114.21,721428,113.18,114.26,112.66
6/12/2017,113.6,677647,114.22,114.47,113.25
6/9/2017,114.02,833194,113.87,114.16,113.26
6/8/2017,113.81,1220399,115.52,115.52,113.49
6/7/2017,115.48,711251,115.16,115.55,114.89
6/6/2017,115.48,650021,115.43,116.02,115.1
6/5/2017,115.43,1320200,115.72,115.76,115.19
6/2/2017,115.88,1058753,115.27,116,114.7618
6/1/2017,115.82,1279299,115.59,115.82,114.84
5/31/2017,115.27,1652084,115.73,116.16,115.21
5/30/2017,115.52,729936,115.89,115.89,115.05
5/26/2017,115.96,992973,115.31,116.49,114.6863
5/25/2017,115.31,1884376,114.26,115.74,114.03
5/24/2017,114.36,1200596,113.1,114.47,113.04
5/23/2017,113.14,1254190,112.39,113.82,112.16
5/22/2017,112.77,1357619,111.85,113.36,111.85
5/19/2017,111.98,1573202,110.76,112.1525,110.08
5/18/2017,110.76,1779578,108.7,111.18,108.26
5/17/2017,108.77,1258063,106.89,109.65,106.73
5/16/2017,107.21,595437,107.99,108,107.08
5/15/2017,107.85,800364,106.99,107.99,106.8
5/12/2017,107.07,590242,106.45,107.23,106.43
5/11/2017,106.55,768702,106.33,106.74,106.02
5/10/2017,106.63,791243,106.44,107.12,106.18
5/9/2017,106.41,732489,106.97,107.28,106.15
5/8/2017,107,1342086,107.39,107.4868,106.79
5/5/2017,107.55,684407,107.65,107.65,107.197
5/4/2017,107.28,1136872,107.39,108.15,106.7
5/3/2017,106.74,1231008,106.82,107.02,106
5/2/2017,107.06,879950,107.12,107.425,106.71
5/1/2017,107.05,893793,108,108.2,107.05
4/28/2017,108.2,1067208,106.99,108.26,106.84
