Day,UPC,Product,Pack Size,CIC,Sum Net Sales,Sum Item Quantity,Sum Markdown Amount
5/6/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1401.044,201,0
5/6/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1085.6154,80,-32
5/7/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,585.9591,84,0
5/7/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,859.38,62,-8
5/8/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,956.7502,137,0
5/8/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,714.056,52,-12
5/9/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,628.6279,90,0
5/9/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,929.32,70,-49.98
5/10/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,748.0804,108,-5
5/10/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2423.2182,174,-8
5/11/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,755.373,109,-5
5/11/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2212.1859,162,-49.97
5/12/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1803.9705,259,0
5/12/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,4984.0468,364,-93.94
5/12/2017,87999901409,SUNSET BOUQUET,15.00 - 1.00 EA,85203676,9.99,1,0
5/13/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,3322.3194,477,-3.98
5/13/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,10136.0962,729,-33.98
5/13/2017,87999901409,SUNSET BOUQUET,15.00 - 1.00 EA,85203676,229.77,23,0
5/14/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,5005.898,720,-10.64
5/14/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,6315.9842,453,-6
5/14/2017,87999901409,SUNSET BOUQUET,15.00 - 1.00 EA,85203676,139.0309,14,0
5/15/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,740.6713,108,-12.99
5/15/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,237.83,17,0
5/15/2017,87999901409,SUNSET BOUQUET,15.00 - 1.00 EA,85203676,-9.99,-1,0
5/16/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,694.0317,103,-22.99
5/16/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,390.8481,28,0
5/17/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,718.6221,106,-19.95
5/17/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,307.78,22,0
5/18/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,530.2951,78,-13.96
5/18/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,222.3419,16,0
5/19/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,834.9917,124,-30.41
5/19/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,751.46,55,-17.99
